"abbr";"layer";"taxon";186;191;487;975;968;970;976;488;12;845;79;14;183;85;90;489;89;974;507;583;54;756;548;28;684;484;748;597;612;82;47;759;60;57;53;37;36;55;48;95;783;735;731;732;734;105;"AN";108;"AP";111;112;106;109;838;667;490;614;659;660;722;695;828;611;683;654;670;630;492;898;"C15";"C14";"C19";994;482;483;900;104;625;626;717;579;594;448;899;568;569;570;866;592;601;578;534;565;577;533;978;125;903;702;449;656;114;602;644;527;651;526;122;703;1029;"C21";"C18";"C24";"C13";"C20";652;653;101;127;97;478;926;1031;121;120
"gale pube pube";"hl";"Galeopsis pubescens";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"gale psis spec ies";"hl";"Galeopsis sp.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"gale spec iosa";"hl";"Galeopsis speciosa";;;;;"r";;;;"+";;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;"+";"r";"r";;;;;;;;;;;;
"gale tetr";"hl";"Galeopsis tetrahit";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"gali albu";"hl";"Galium album s.str.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;"+";;"+";;;;;;;"r";;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"gali apar";"hl";"Galium aparine";"+";;;"+";;;"+";"r";"+";;"+";"+";1;;;;;"+";;"+";1;;2;;;;;"r";;1;2;;"+";"+";"+";"+";1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;"+";"+";;;;;;"+";"+";;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;
"gali luci";"hl";"Galium lucidum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"gali odor";"hl";"Galium odoratum";;"+";;;;"+";;;"+";"+";;;1;"+";;;;;"r";;;;;;;"+";;;"+";;;"+";;;"+";;;;;2;;;;;;;;;"+";;;;;;;;;;;;;;;;;;"+";;;1;;;;;;;1;"+";"+";;;;"+";"+";;;;"+";"+";;;;;;;;"+";;;"r";"+";1;;;;1;;;;;"+";1;"+";;;"+";"+";;;;"+";;;"+";"+"
"gali sylv";"hl";"Galium sylvaticum";"r";;;;"r";;"+";;;;;;"r";;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;"+";"+";;;;"+";;;;;"+";"+";"+";"r";"+";"+";;"r";"r";;;"+";;;;;"r";"+";;1;;;;;;;;;;;"r";;;"+";;;;"+";"+";"r";;;;"+";;;;;"+";;;;"+";;;;;;;;
"gali trun";"hl";"Galium truniacum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"gali ulig";"hl";"Galium uliginosum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"gent ascl";"hl";"Gentiana asclepiadea";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";"+";;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"gera phae phae";"hl";"Geranium phaeum";;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"gera robe";"hl";"Geranium robertianum";"r";"+";"+";;;;;;"+";"+";;"+";1;"+";;;;;;"+";;"+";;"+";;;;"+";;;;"+";;"+";;;;"r";;"+";;;;;;"+";"+";"+";"+";;;;;;;;;;;;;;"r";;;;;;;;"+";"+";"+";;;;;"+";"+";;;;"+";;"+";;;;;"+";"+";;;;;;"+";;;"+";"+";"+";;"+";;"+";;;;"+";;"+";"+";1;"+";"+";1;2;;;"r";1;;;
"gera sylv";"hl";"Geranium sylvaticum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"geum riva";"hl";"Geum rivale";;;;;;;;;;;;;;;;;;;"+";;"+";;;"+";;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"geum urba";"hl";"Geum urbanum";1;;;"+";;;"+";"r";"+";;1;1;"+";"+";;"+";;"+";"+";;;"+";;;;;;;;1;;;1;"+";"+";"+";1;"+";"+";"+";;;;;;"+";;"+";;;;;;;;;;;;;;;;;;;;;;;;"+";;"+";"+";"r";;"+";;;"+";;"+";;;"+";;"+";"+";;"+";"r";1;;;"+";;;"+";"+";"+";;;;;;;;"+";;"r";"+";;"+";"+";;;;;;;;;;
"glec hede";"hl";"Glechoma hederacea";;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"gymn dryo";"hl";"Gymnocarpium dryopteris";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"gymn robe";"hl";"Gymnocarpium robertianum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"r";"+";;;"+";;;;;"r";;"+";;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;1;;;;;;;;;;;;
"hede heli";"hl";"Hedera helix";"+";;"+";;"+";1;;;1;"+";1;;"r";1;;1;;;"+";;;;;"+";"+";;"+";;"+";;"r";;;"r";;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;"+";;"+";1;"+";"+";;"+";"+";"+";"+";"+";"+";"+";"+";;"+";"+";;"+";"+";;"+";"+";1;"+";"r";1;;;;1;;;1;;;"+";"+";"+";;"+";;1;"+";;1;"+";;;;;;;;;;
"hell nige";"hl";"Helleborus niger";;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;"+";;"+";;;"+";"+";"+";"+";;;"+";;;;"+";"+";"+";1;;;1;;"r";"+";"+";;;;;"+";1;;;;;1;"+";;;;;;"+";"+";;;;;;;;1;"+";"+";"+";"+";"+";;;;;1;"+";"+";;1;;;;;;;;;;;;;
"hepa nobi";"hl";"Hepatica nobilis";;"+";"+";;;;;"r";;"+";"+";;"+";;;;;;;;;;;;;;"+";;;"+";;;;;;;;;;;;;;;;;;;"+";"+";"+";;;"+";"+";;;;;;;;"+";"+";"+";"+";"+";"+";"+";"+";1;;"+";"+";;"+";;;;"+";"+";"+";"+";"+";"+";;;1;"+";"+";;1;;"+";"+";;;"+";1;"+";"+";"+";"+";"+";;"+";;"+";"+";"+";;1;1;;;"+";;;;;;;;"+";"r"
"hera spho spho";"hl";"Heracleum sphondylium";;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;"r";;;;"r";;;;;;;;;;;;;;;;;"r";"r";;;;;;"r";"r";;;;;;;"+";;;;;;;;"r";;;;;;;;;"r";;;"+";;;;;;;;;"r";;;;;;;;;;;;;;;;"r";;
"hesp matr matr";"hl";"Hesperis matronalis";;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;
"hier muro";"hl";"Hieracium murorum";;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;"+";;;;;;;;;"r";;;;;;;;"+";;;;;;;;"r";;;;;;;;;;;;;;;;
"hier spec ies";"hl";"Hieracium sp.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"hipp emer emer";"hl";"Hippocrepis emerus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;
"hord euro";"hl";"Hordelymus europaeus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"hype hirs";"hl";"Hypericum hirsutum";;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;
"hype mont";"hl";"Hypericum montanum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"hype perf";"hl";"Hypericum perforatum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"impa glan";"hl";"Impatiens glandulifera";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";;;;;;1;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"impa noli";"hl";"Impatiens noli-tangere";1;;;;;;;"r";;;"+";;"+";;;;;;;"+";;"+";;;;"+";;;;1;"+";"+";"+";"+";2;"+";2;2;2;2;;"+";1;"+";"+";1;1;;;;;;;;;;;;;"+";;;"+";;;;;;;;;;;;;;;"r";"+";;;;;;;"r";;;;;;;;;;;1;;;;;"+";;;;"+";"+";;;;;;;;;"+";"+";2;;;;1;"+";"+";"+"
"impa parv";"hl";"Impatiens parviflora";"+";"+";;1;"+";;2;"+";"+";"+";;"+";"+";;;"+";;"+";;"+";;;1;;;;;;;"+";1;;;1;"+";"+";2;"+";1;"+";;;;;;;;;;;;;;;;;;;;;;;"+";"+";;;;;1;;;"+";;1;"+";;;"+";;"+";;;;;2;1;;"+";;;1;;;1;;;2;;;;;"+";;"+";;"+";"+";;;;"+";"+";;"+";"+";1;;1;;;;2;;;
"inul cony";"hl";"Inula conyza";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"iris pseu";"hl";"Iris pseudacorus";;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"jugl regi";"tl";"Juglans regia BSK";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;"+";;;;;;;;;;;;;"r";;"+";;;;;;;;;;;;;;;;;;;;;;;;"r";"r";;;"+";;;;;;;;;;
"jugl regi";"hl";"Juglans regia K";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"jugl regi";"sl";"Juglans regia S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"knau maxi";"hl";"Knautia maxima";;;;;;;"+";;"r";;;;"+";;;;;;"r";;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;"r";;"+";;"+";"r";"+";"+";"+";;;"+";"+";;"+";;;;"+";"r";"+";;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"lact alpi";"hl";"Lactuca alpina";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"lact mura";"hl";"Lactuca muralis";;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;"r";;"+";;;;"+";"+";"+";;;;;;;;;;;;;;"r";;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;1;;;"+";;;"+";;"r";"+";;;;;;;;;;;"r";"r";;;;;;;;;;;;
"lami macu";"hl";"Lamium maculatum";"+";;;;;;;;;;;;;;;;;;;;"r";;2;;;;;;;1;;"+";;"+";"+";"+";"+";;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;"+";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;"+";;1;;;
"lari deci deci";"tl";"Larix decidua B";;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"lase lati lati";"hl";"Laserpitium latifolium";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;"+";"+";"+";;"r";;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"lath vern";"hl";"Lathyrus vernus";;;;;;;;;"+";"+";"r";"+";"r";;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;"+";;"+";;;;;"+";;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;
"leuc vern";"hl";"Leucojum vernum";;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ligu vulg";"hl";"Ligustrum vulgare";;;;;;;;;;;;;;;;;;"+";"r";;;;;"+";;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;1;;;;;;"+";;;;;;"+";;;;;;;;;;"+";;;;;;;;;;;;;;;;
"lili mart";"hl";"Lilium martagon";"+";;"r";;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";"r";;;;;;;;;;;;"+";;;;"+";;;;;;"+";"+";;;;;;"+";;;;;;;"+";"+";;"+";;;"+";;;;;;;;;;"+";;;;;;;;;;;"r";;;;;;;;;;
"list ovat";"hl";"Listera ovata";;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;"+";"+";"+";"+";;"+";;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;"+";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"loni alpi";"hl";"Lonicera alpigena";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"loni nigr";"hl";"Lonicera nigra";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;"r";"+";;;;;;;;;;"r";;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"loni xylo";"hl";"Lonicera xylosteum";"+";"r";"r";;"r";1;;"+";;;"+";;"+";;"r";"+";1;"r";"r";;;"r";;"+";;;;"+";;1;"r";;"+";1;"+";1;1;1;"r";;;;;;;"+";;"+";"+";;;"+";;;;;;;;;;;"+";"r";;"+";;;"+";"+";1;"+";;;"r";;;;;"+";"r";"+";"+";"r";;;;;"+";;;;;;;"+";;;;;;;"r";;;;;;"+";"r";;"+";"+";"r";;;;;;;;;;;
"lotu corn";"hl";"Lotus corniculatus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"luna redi";"hl";"Lunaria rediviva";;;;;;;;;"+";;;"+";;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;1;;;"+";;;;;;;;;;;;;;"+";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";3;3
"luzu luzu ides";"hl";"Luzula luzuloides";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;"r";;;;;;;;;;;;"+";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"luzu sylv sylv";"hl";"Luzula sylvatica";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;"+";;1;"+";1;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;
"lysi nemo";"hl";"Lysimachia nemorum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;"+";1;1;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"lysi numm";"hl";"Lysimachia nummularia";;;;;;;;;;;;;;;;;;;;;;;"+";"+";;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"maia bifo";"hl";"Maianthemum bifolium";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;"+";;;;;;;;;"+";"+";"+";2;;;;;;;;;;"r";;;;;;;;;;;;;;;;;"r";;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;
"malu sylv";"hl";"Malus sylvestris B(SK)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;
"mela prat";"hl";"Melampyrum pratense";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"mela sylv";"hl";"Melampyrum sylvaticum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"meli nuta";"hl";"Melica nutans ";;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;"+";"+";"+";;;"+";"+";"+";"+";;;;"+";;;"+";;"+";;"+";;;;;;"+";;"+";"r";"+";;"+";;;"+";;;;;;;;;;;;;;"+";;;"+";;;"+";"+";;;1;;"+";;;"+";;;;;;;;;;;;
"meli meli";"hl";"Melittis melissophyllum";;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";1;"+";;;;;"+";;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ment long";"hl";"Mentha longifolia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"merc pere";"hl";"Mercurialis perennis";"+";4;1;"+";;;"+";;"+";;"+";"+";;;"+";;1;"+";;;;;;;;1;"+";;;;1;"+";;;;;;;;;;;;;;"+";"+";"+";1;"+";"+";"+";1;"+";"+";;;;;;;;1;;;"+";"+";;;;;;;"+";"+";;2;1;1;;"+";"+";"+";;;;;;"+";"+";;;;;;"+";;"+";"+";;;1;"+";"+";;1;;;"+";"+";;"r";"r";;;"+";1;;;;;;;1;"+"
"mili effu effu";"hl";"Milium effusum";;;;"+";;;"+";;1;;;;"r";;;;;;;;;;;;;;;;;;;"+";;;"+";;;;"r";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;"+";;;"+";;;;;;;;;;;;;"+";;;;;;;;;;;;;"+";"r";;;"r";
"moeh musc";"hl";"Moehringia muscosa";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"r";"+";;;;;;;
"moeh trin";"hl";"Moehringia trinervia";;;;;;;"+";;;"+";;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;"r";;;;;;;
"moli caer aggr";"hl";"Molinia caerulea s.l.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;2;2;3;"+";;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"myos sylv";"hl";"Myosotis sylvatica";;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;"+";;;"r";;;"r";;;;;;"+";"+";"r";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"orch pall";"hl";"Orchis pallens";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"orig vulg";"hl";"Origanum vulgare";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;"+";;;;;"+";;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"orob flav";"hl";"Orobanche flava";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"oxal acet";"hl";"Oxalis acetosella";;;;;;"+";;"+";"+";;"+";"+";;;;;"+";;;;;;;;"r";;;;"+";"r";;"+";"+";"r";;;"r";"+";"r";1;"+";"+";;"+";"+";"+";1;"+";"+";;1;;1;;;;;;;;;;"+";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;"+";;"+";;"+";;;;"+";;"+";;;"+";;;;;;;;1;;"+";"+";1;1;;
"pari quad";"hl";"Paris quadrifolia";"+";"r";;"+";"+";"+";;;;"+";"+";;"+";"r";;"+";;"+";"+";;;;"+";;"+";;;"+";;"+";"+";;"+";"r";"+";"r";"r";"+";"+";;;;;"+";;;;"+";"+";;;;"+";;;;;;;;;;"+";"+";;;"r";;;"+";"+";;;"+";;;"+";;;"+";"r";;"+";;;;;"+";;"+";"+";"+";;;1;"+";;"+";"+";;;"r";"+";"+";;"+";;;;"+";;;"+";;;;;"+";;;"r";;;"+";
"peta albu";"hl";"Petasites albus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;"+";;;;;;;;;;1;2;;1;;1;;;;;;"+";;;1;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
"peta hybr";"hl";"Petasites hybridus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;"+";"+";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"peta para";"hl";"Petasites paradoxus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;"+";"+";"+";"+";;;;;;;"+";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
