plot;species;layer;cov;voucher;comment;history
john141;Sesleria uliginosa;hl;+;;;
john141;Silene dioica;hl;+;;;
john141;Silene vulgaris;hl;+;;;
john141;Soldanella alpina;hl;+;;;
john141;Stellaria graminea;hl;+;;;
john141;Thymus pulegioides;hl;+;;;
john141;Trifolium pratense;hl;3;;;
john141;Trollius europaeus;hl;2;;;
john141;Veratrum album;hl;+;;;
john142;Acinos alpinus;hl;2;;;
john142;Ajuga reptans;hl;+;;;
john142;Anemone narcissiflora;hl;2;;;
john142;Anthoxanthum alpinum;hl;3;;;
john142;Anthyllis vulneraria ssp. alpestris;hl;10;;;
john142;Arabis ciliata;hl;+;;;
john142;Aster bellidiastrum;hl;+;;;
john142;Betonica alopecuros;hl;3;;;
john142;Briza media;hl;+;;;
john142;Buphthalmum salicifolium;hl;5;;;
john142;Carduus defloratus;hl;+;;;
john142;Carex ornithopoda;hl;+;;;
john142;Carex sempervirens;hl;25;;;
john142;Carlina acaulis;hl;+;;;
john142;Carum carvi;hl;+;;;
john142;Centaurea montana;hl;+;;;
john142;Centaurea pseudophrygia;hl;+;;;
john142;Cerastium arvense;hl;1;;;
john142;Chaerophyllum villarsii;hl;5;;;
john142;Cirsium carniolicum;hl;+;;;
john142;Coeloglossum viride;hl;1;;;
john142;Crepis aurea;hl;+;;;
john142;Crepis pontana;hl;1;;;
john142;Dactylis glomerata;hl;+;;;
john142;Erica carnea;hl;+;;;
john142;Euphorbia austriaca;hl;+;;;
john142;Festuca norica;hl;+;;;
john142;Festuca rubra agg.;hl;5;;;
john142;Galium anisophyllon;hl;3;;;
john142;Gentiana pannonica;hl;+;;;
john142;Geranium sylvaticum;hl;+;;;
john142;Gymnadenia conopsea;hl;1;;;
john142;Helianthemum grandiflorum;hl;2;;;
john142;Helictotrichon parlatorei;hl;25;;;
john142;Helleborus niger;hl;10;;;
john142;Heracleum austriacum;hl;2;;;
john142;Hieracium murorum;hl;+;;;
john142;Hippocrepis comosa;hl;+;;;
john142;Leontodon hispidus;hl;10;;;
john142;Leucanthemum adustum;hl;2;;;
john142;Lilium martagon;hl;+;;;
john142;Linum alpinum;hl;+;;;
john142;Lotus corniculatus;hl;3;;;
john142;Luzula campestris;hl;+;;;
john142;Mercurialis perennis;hl;2;;;
john142;Meum athamanticum;hl;3;;;
john142;Nardus stricta;hl;+;;;
john142;Nigritella rubra;hl;+;;;
john142;Orchis mascula;hl;1;;;
john142;Pedicularis foliosa;hl;+;;;
john142;Phleum hirsutum;hl;+;;;
john142;Phleum rhaeticum;hl;+;;;
john142;Phyteuma orbiculare;hl;1;;;
john142;Picea abies;hl;+;;;
john142;Pimpinella major;hl;3;;;
john142;Pinus mugo;hl;+;;;
john142;Plantago lanceolata;hl;+;;;
john142;Poa alpina;hl;+;;;
john142;Poa annua;hl;+;;;
john142;Polygonatum verticillatum;hl;+;;;
john142;Potentilla aurea;hl;+;;;
john142;Potentilla erecta;hl;+;;;
john142;Ranunculus nemorosus;hl;2;;;
john142;Rhinanthus sp.;hl;+;;;
john142;Rumex alpestris;hl;+;;;
john142;Scabiosa lucida;hl;+;;;
john142;Sesleria uliginosa;hl;+;;;
john142;Silene vulgaris;hl;+;;;
john142;Soldanella alpina;hl;+;;;
john142;Thesium alpinum;hl;+;;;
john142;Thymus pulegioides;hl;+;;;
john142;Trifolium pratense;hl;+;;;
john142;Trollius europaeus;hl;2;;;
john142;Vaccinium myrtillus;hl;+;;;
john142;Veratrum album;hl;+;;;
john143;Acinos alpinus;hl;2;;;
john143;Ajuga reptans;hl;+;;;
john143;Alchemilla glabra;hl;+;;;
john143;Anemone narcissiflora;hl;2;;;
john143;Anthoxanthum alpinum;hl;3;;;
john143;Anthyllis vulneraria ssp. alpestris;hl;10;;;
john143;Aster bellidiastrum;hl;+;;;
john143;Betonica alopecuros;hl;3;;;
john143;Briza media;hl;2;;;
john143;Buphthalmum salicifolium;hl;5;;;
john143;Campanula rotundifolia;hl;+;;;
john143;Campanula scheuchzeri;hl;+;;;
john143;Carduus defloratus;hl;+;;;
john143;Carex flacca;hl;+;;;
john143;Carex ornithopoda;hl;2;;;
john143;Carex pallescens;hl;+;;;
john143;Carex panicea;hl;+;;;
john143;Carex sempervirens;hl;25;;;
john143;Carlina acaulis;hl;2;;;
john143;Carum carvi;hl;+;;;
john143;Centaurea montana;hl;+;;;
john143;Centaurea pseudophrygia;hl;+;;;
john143;Cerastium arvense;hl;+;;;
john143;Chaerophyllum villarsii;hl;5;;;
john143;Cirsium carniolicum;hl;+;;;
john143;Coeloglossum viride;hl;+;;;
john143;Crepis aurea;hl;2;;;
john143;Dactylis glomerata;hl;+;;;
john143;Deschampsia cespitosa;hl;+;;;
john143;Dianthus alpinus;hl;+;;;
john143;Erica carnea;hl;+;;;
john143;Euphorbia austriaca;hl;+;;;
john143;Festuca norica;hl;+;;;
john143;Festuca rubra agg.;hl;+;;;
john143;Galium anisophyllon;hl;3;;;
john143;Gentiana pannonica;hl;+;;;
john143;Geranium sylvaticum;hl;+;;;
john143;Globularia nudicaulis;hl;+;;;
john143;Gymnadenia conopsea;hl;1;;;
john143;Helianthemum grandiflorum;hl;3;;;
john143;Helictotrichon parlatorei;hl;25;;;
john143;Helleborus niger;hl;10;;;
john143;Heracleum austriacum;hl;2;;;
john143;Hieracium murorum;hl;+;;;
john143;Hippocrepis comosa;hl;+;;;
john143;Leontodon hispidus;hl;10;;;
john143;Leontodon incanus;hl;+;;;
john143;Leucanthemum adustum;hl;2;;;
john143;Lilium martagon;hl;+;;;
john143;Linum catharticum;hl;+;;;
john143;Listera ovata;hl;+;;;
john143;Lotus corniculatus;hl;3;;;
john143;Luzula campestris;hl;+;;;
john143;Luzula sylvatica;hl;+;;;
john143;Mercurialis perennis;hl;2;;;
john143;Meum athamanticum;hl;10;;;
john143;Myosotis sp.;hl;+;;;
john143;Nardus stricta;hl;3;;;
john143;Nigritella rubra;hl;+;;;
john143;Orchis mascula;hl;1;;;
john143;Pedicularis foliosa;hl;+;;;
john143;Persicaria vivipara;hl;+;;;
john143;Phleum hirsutum;hl;1;;;
john143;Phleum rhaeticum;hl;+;;;
john143;Phyteuma orbiculare;hl;1;;;
john143;Picea abies;hl;+;;;
john143;Pimpinella major;hl;8;;;
john143;Pinus mugo;hl;+;;;
john143;Plantago lanceolata;hl;+;;;
john143;Plantago media;hl;+;;;
john143;Poa alpina;hl;+;;;
john143;Poa annua;hl;+;;;
john143;Polygala alpestris;hl;3;;;
john143;Polygonatum verticillatum;hl;+;;;
john143;Potentilla aurea;hl;+;;;
john143;Ranunculus nemorosus;hl;2;;;
john143;Rumex alpestris;hl;+;;;
john143;Scabiosa lucida;hl;+;;;
john143;Sesleria uliginosa;hl;3;;;
john143;Silene vulgaris;hl;+;;;
john143;Soldanella alpina;hl;+;;;
john143;Thesium alpinum;hl;+;;;
john143;Thymus pulegioides;hl;+;;;
john143;Traunsteinera globosa;hl;+;;;
john143;Trifolium pratense;hl;+;;;
john143;Trollius europaeus;hl;2;;;
john143;Tussilago farfara;hl;+;;;
john143;Vaccinium myrtillus;hl;+;;;
john143;Veratrum album;hl;+;;;
john144;Acinos alpinus;hl;3;;;
john144;Ajuga pyramidalis;hl;+;;;
john144;Ajuga reptans;hl;+;;;
john144;Anemone narcissiflora;hl;2;;;
john144;Anthoxanthum alpinum;hl;+;;;
john144;Anthyllis vulneraria ssp. alpestris;hl;5;;;
john144;Aster bellidiastrum;hl;+;;;
john144;Betonica alopecuros;hl;3;;;
john144;Briza media;hl;2;;;
john144;Buphthalmum salicifolium;hl;5;;;
john144;Campanula rotundifolia;hl;+;;;
john144;Carduus defloratus;hl;+;;;
john144;Carex flacca;hl;+;;;
john144;Carex ornithopoda;hl;+;;;
john144;Carex sempervirens;hl;25;;;
john144;Carlina acaulis;hl;2;;;
john144;Centaurea montana;hl;+;;;
john144;Centaurea pseudophrygia;hl;+;;;
john144;Cerastium arvense;hl;1;;;
john144;Chaerophyllum villarsii;hl;5;;;
john144;Cirsium carniolicum;hl;+;;;
john144;Coeloglossum viride;hl;+;;;
john144;Crepis aurea;hl;+;;;
john144;Crepis pontana;hl;+;;;
john144;Dianthus alpinus;hl;+;;;
john144;Erica carnea;hl;+;;;
john144;Euphorbia austriaca;hl;+;;;
john144;Festuca norica;hl;+;;;
john144;Festuca rubra agg.;hl;+;;;
john144;Galium anisophyllon;hl;3;;;
john144;Gentiana pannonica;hl;r;;;
john144;Globularia nudicaulis;hl;+;;;
john144;Gymnadenia conopsea;hl;1;;;
john144;Helianthemum grandiflorum;hl;10;;;
john144;Helictotrichon parlatorei;hl;25;;;
john144;Helleborus niger;hl;10;;;
john144;Heracleum austriacum;hl;2;;;
john144;Hippocrepis comosa;hl;+;;;
john144;Leontodon hispidus;hl;5;;;
john144;Leucanthemum adustum;hl;2;;;
john144;Lilium martagon;hl;+;;;
john144;Linum catharticum;hl;+;;;
john144;Listera ovata;hl;+;;;
john144;Lotus corniculatus;hl;3;;;
john144;Luzula multiflora;hl;+;;;
john144;Luzula sylvatica;hl;+;;;
john144;Mercurialis perennis;hl;10;;;
john144;Meum athamanticum;hl;10;;;
john144;Nardus stricta;hl;+;;;
john144;Nigritella rubra;hl;1;;;
john144;Orchis mascula;hl;1;;;
john144;Pedicularis foliosa;hl;+;;;
john144;Persicaria vivipara;hl;+;;;
john144;Phleum hirsutum;hl;1;;;
john144;Phleum rhaeticum;hl;+;;;
john144;Phyteuma orbiculare;hl;1;;;
john144;Picea abies;hl;1;;;
john144;Pimpinella major;hl;5;;;
john144;Pinus mugo;hl;+;;;
john144;Plantago lanceolata;hl;3;;;
john144;Plantago media;hl;+;;;
john144;Poa alpina;hl;+;;;
john144;Poa annua;hl;+;;;
john144;Polygala alpestris;hl;3;;;
john144;Polygonatum verticillatum;hl;+;;;
john144;Potentilla erecta;hl;+;;;
john144;Ranunculus nemorosus;hl;+;;;
john144;Rhinanthus sp.;hl;+;;;
john144;Rumex alpestris;hl;+;;;
john144;Scabiosa lucida;hl;+;;;
john144;Sesleria uliginosa;hl;3;;;
john144;Silene vulgaris;hl;+;;;
john144;Soldanella alpina;hl;+;;;
john144;Thesium alpinum;hl;+;;;
john144;Thymus pulegioides;hl;10;;;
john144;Traunsteinera globosa;hl;+;;;
john144;Trifolium pratense;hl;+;;;
john144;Trollius europaeus;hl;2;;;
john144;Vaccinium myrtillus;hl;+;;;
john144;Veratrum album;hl;1;;;
john151;Achillea millefolium agg.;hl;+;;;
john151;Agrostis capillaris;hl;3;;;
john151;Alchemilla flabellata;hl;+;;;
john151;Alchemilla monticola;hl;+;;;
john151;Anthoxanthum alpinum;hl;15;;;
john151;Avenella flexuosa;hl;+;;;
john151;Calluna vulgaris;hl;+;;;
john151;Calycocorsus stipitatus;hl;5;;;
john151;Campanula barbata;hl;+;;;
john151;Carex canescens;hl;+;;;
john151;Carex echinata;hl;+;;;
john151;Carex leporina;hl;+;;;
john151;Carex nigra;hl;5;;;
john151;Carex pallescens;hl;+;;;
john151;Deschampsia cespitosa;hl;15;;;
john151;Euphrasia officinalis ssp. rostkoviana;hl;+;;;
john151;Festuca rubra agg.;hl;5;;;
john151;Gentiana punctata;hl;+;;;
john151;Hieracium lactucella;hl;+;;;
john151;Homogyne alpina;hl;15;;;
john151;Juncus filiformis;hl;3;;;
john151;Leontodon helveticus;hl;10;;;
john151;Ligusticum mutellina;hl;+;;;
john151;Luzula multiflora;hl;3;;;
john151;Nardus stricta;hl;30;;;
john151;Phleum rhaeticum;hl;3;;;
john151;Poa alpina;hl;+;;;
john151;Potentilla aurea;hl;+;;;
john151;Pseudorchis albida;hl;+;;;
john151;Solidago virgaurea;hl;+;;;
john151;Vaccinium myrtillus;hl;+;;;
john151;Veratrum album;hl;20;;;
john152;Achillea millefolium agg.;hl;+;;;
john152;Agrostis capillaris;hl;+;;;
john152;Anthoxanthum alpinum;hl;20;;;
john152;Avenella flexuosa;hl;+;;;
john152;Calycocorsus stipitatus;hl;20;;;
john152;Carex canescens;hl;+;;;
john152;Carex echinata;hl;3;;;
john152;Carex nigra;hl;15;;;
john152;Carex pallescens;hl;+;;;
john152;Deschampsia cespitosa;hl;5;;;
john152;Festuca rubra agg.;hl;+;;;
john152;Gentiana punctata;hl;+;;;
john152;Hieracium lactucella;hl;+;;;
john152;Homogyne alpina;hl;15;;;
john152;Juncus filiformis;hl;+;;;
john152;Leontodon helveticus;hl;5;;;
john152;Ligusticum mutellina;hl;5;;;
john152;Luzula multiflora;hl;12;;;
john152;Nardus stricta;hl;40;;;
john152;Phleum rhaeticum;hl;+;;;
john152;Potentilla aurea;hl;3;;;
john152;Pseudorchis albida;hl;+;;;
john152;Solidago virgaurea;hl;+;;;
john152;Vaccinium myrtillus;hl;+;;;
john152;Veratrum album;hl;20;;;
john153;Agrostis capillaris;hl;+;;;
john153;Anthoxanthum alpinum;hl;20;;;
john153;Avenella flexuosa;hl;+;;;
john153;Calycocorsus stipitatus;hl;35;;;
john153;Carex canescens;hl;3;;;
john153;Carex echinata;hl;12;;;
john153;Carex nigra;hl;3;;;
john153;Carex pallescens;hl;+;;;
john153;Deschampsia cespitosa;hl;5;;;
john153;Festuca rubra agg.;hl;+;;;
john153;Gentiana punctata;hl;3;;;
john153;Geum montanum;hl;+;;;
john153;Hieracium lactucella;hl;+;;;
john153;Homogyne alpina;hl;15;;;
john153;Juncus filiformis;hl;3;;;
john153;Leontodon helveticus;hl;5;;;
john153;Ligusticum mutellina;hl;10;;;
john153;Luzula multiflora;hl;3;;;
john153;Nardus stricta;hl;40;;;
john153;Phleum rhaeticum;hl;+;;;
john153;Potentilla aurea;hl;+;;;
john153;Potentilla erecta;hl;+;;;
john153;Pseudorchis albida;hl;+;;;
john153;Solidago virgaurea;hl;+;;;
john153;Trifolium pratense;hl;+;;;
john153;Vaccinium myrtillus;hl;+;;;
john153;Veratrum album;hl;30;;;
john154;Agrostis capillaris;hl;+;;;
john154;Anthoxanthum alpinum;hl;20;;;
john154;Avenella flexuosa;hl;+;;;
john154;Calycocorsus stipitatus;hl;25;;;
john154;Carex canescens;hl;3;;;
john154;Carex echinata;hl;20;;;
john154;Carex nigra;hl;3;;;
john154;Carex pallescens;hl;+;;;
john154;Crepis aurea;hl;+;;;
john154;Deschampsia cespitosa;hl;5;;;
john154;Festuca rubra agg.;hl;+;;;
john154;Gentiana punctata;hl;3;;;
john154;Geum montanum;hl;+;;;
john154;Hieracium lactucella;hl;+;;;
john154;Homogyne alpina;hl;15;;;
john154;Juncus filiformis;hl;3;;;
john154;Leontodon helveticus;hl;5;;;
john154;Ligusticum mutellina;hl;5;;;
john154;Luzula multiflora;hl;3;;;
john154;Nardus stricta;hl;40;;;
john154;Phleum rhaeticum;hl;+;;;
john154;Potentilla aurea;hl;+;;;
john154;Potentilla erecta;hl;+;;;
john154;Pseudorchis albida;hl;+;;;
john154;Rumex alpestris;hl;+;;;
john154;Solidago virgaurea;hl;+;;;
john154;Vaccinium myrtillus;hl;+;;;
john154;Veratrum album;hl;20;;;
john161;Achillea millefolium agg.;hl;3;;;
john161;Adenostyles alliariae;hl;+;;;
john161;Agrostis capillaris;hl;20;;;
john161;Alchemilla anisiaca;hl;+;;;
john161;Alchemilla lineata;hl;+;;;
john161;Alchemilla monticola;hl;15;;;
john161;Anthoxanthum alpinum;hl;5;;;
john161;Briza media;hl;+;;;
john161;Campanula scheuchzeri;hl;+;;;
john161;Cardaminopsis halleri;hl;+;;;
john161;Carduus defloratus;hl;+;;;
john161;Carex atrata;hl;+;;;
john161;Carex caryophyllea;hl;+;;;
john161;Carex ferruginea;hl;+;;;
john161;Cerastium arvense;hl;+;;;
john161;Chaerophyllum hirsutum;hl;+;;;
john161;Coeloglossum viride;hl;r;;;
john161;Crepis aurea;hl;+;;;
john161;Deschampsia cespitosa;hl;25;;;
john161;Euphorbia austriaca;hl;+;;;
john161;Euphrasia sp.;hl;+;;;
john161;Festuca alpina;hl;+;;;
john161;Festuca rubra agg.;hl;+;;;
john161;Gentiana punctata;hl;+;;;
john161;Geranium sylvaticum;hl;+;;;
john161;Geum montanum;hl;+;;;
john161;Helianthemum grandiflorum;hl;+;;;
john161;Heracleum austriacum;hl;+;;;
john161;Hypericum maculatum;hl;+;;;
john161;Leontodon helveticus;hl;3;;;
john161;Leontodon hispidus;hl;5;;;
john161;Leucanthemum adustum;hl;+;;;
john161;Ligusticum mutellina;hl;+;;;
john161;Nardus stricta;hl;5;;;
john161;Peucedanum ostruthium;hl;+;;;
john161;Phleum rhaeticum;hl;15;;;
john161;Phyteuma orbiculare;hl;+;;;
john161;Poa alpina;hl;10;;;
john161;Poa annua;hl;3;;;
john161;Potentilla aurea;hl;2;;;
john161;Prunella vulgaris;hl;+;;;
john161;Ranunculus acris;hl;3;;;
john161;Ranunculus repens;hl;2;;;
john161;Rumex alpestris;hl;+;;;
john161;Rumex alpinus;hl;10;;;
john161;Senecio subalpinus;hl;10;;;
john161;Soldanella alpina;hl;+;;;
john161;Stellaria graminea;hl;+;;;
john161;Stellaria nemorum;hl;+;;;
john161;Taraxacum officinale agg.;hl;+;;;
john161;Thymus pulegioides;hl;+;;;
john161;Trifolium pratense;hl;3;;;
john161;Trifolium repens;hl;+;;;
john161;Veronica chamaedrys;hl;5;;;
john162;Achillea millefolium agg.;hl;+;;;
john162;Adenostyles alliariae;hl;+;;;
john162;Agrostis capillaris;hl;20;;;
john162;Alchemilla anisiaca;hl;r;;;
john162;Alchemilla lineata;hl;+;;;
john162;Alchemilla monticola;hl;15;;;
john162;Anthoxanthum alpinum;hl;+;;;
john162;Campanula scheuchzeri;hl;2;;;
john162;Cardaminopsis halleri;hl;r;;;
john162;Carduus defloratus;hl;+;;;
john162;Carex atrata;hl;+;;;
john162;Carex caryophyllea;hl;+;;;
john162;Carex ferruginea;hl;+;;;
john162;Carex leporina;hl;+;;;
john162;Cerastium arvense;hl;+;;;
john162;Chaerophyllum hirsutum;hl;+;;;
john162;Coeloglossum viride;hl;r;;;
john162;Crepis aurea;hl;+;;;
john162;Deschampsia cespitosa;hl;25;;;
john162;Euphorbia austriaca;hl;+;;;
john162;Euphrasia sp.;hl;+;;;
john162;Festuca rubra agg.;hl;5;;;
john162;Gentiana punctata;hl;+;;;
john162;Gentianella germanica;hl;+;;;
john162;Geranium sylvaticum;hl;+;;;
john162;Geum montanum;hl;+;;;
john162;Helianthemum grandiflorum;hl;+;;;
john162;Heracleum austriacum;hl;+;;;
john162;Homogyne alpina;hl;+;;;
john162;Hypericum maculatum;hl;3;;;
john162;Leontodon hispidus;hl;5;;;
john162;Leucanthemum adustum;hl;+;;;
john162;Ligusticum mutellina;hl;+;;;
john162;Lotus corniculatus;hl;+;;;
john162;Luzula multiflora;hl;+;;;
john162;Nardus stricta;hl;+;;;
john162;Parnassia palustris;hl;+;;;
john162;Phleum rhaeticum;hl;15;;;
john162;Phyteuma orbiculare;hl;+;;;
john162;Poa alpina;hl;5;;;
john162;Poa annua;hl;+;;;
john162;Poa hybrida;hl;+;;;
john162;Potentilla aurea;hl;2;;;
john162;Prunella vulgaris;hl;+;;;
john162;Ranunculus acris;hl;3;;;
john162;Ranunculus nemorosus;hl;+;;;
john162;Ranunculus repens;hl;+;;;
john162;Rumex alpestris;hl;5;;;
john162;Rumex alpinus;hl;10;;;
john162;Scabiosa lucida;hl;+;;;
john162;Selaginella selaginoides;hl;+;;;
john162;Senecio subalpinus;hl;10;;;
john162;Silene pusilla;hl;+;;;
john162;Soldanella alpina;hl;+;;;
john162;Stellaria graminea;hl;+;;;
john162;Taraxacum officinale agg.;hl;+;;;
john162;Thymus pulegioides;hl;+;;;
john162;Trifolium pratense;hl;8;;;
john162;Trifolium repens;hl;3;;;
john162;Veronica chamaedrys;hl;5;;;
john163;Achillea millefolium agg.;hl;+;;;
john163;Adenostyles alliariae;hl;+;;;
john163;Agrostis capillaris;hl;20;;;
john163;Alchemilla anisiaca;hl;r;;;
john163;Alchemilla lineata;hl;+;;;
john163;Alchemilla monticola;hl;15;;;
john163;Anthoxanthum alpinum;hl;5;;;
john163;Aster bellidiastrum;hl;+;;;
john163;Briza media;hl;+;;;
john163;Campanula scheuchzeri;hl;+;;;
john163;Cardaminopsis halleri;hl;5;;;
john163;Carduus defloratus;hl;+;;;
john163;Carex atrata;hl;+;;;
john163;Carex caryophyllea;hl;+;;;
john163;Carex ferruginea;hl;+;;;
john163;Carex leporina;hl;+;;;
john163;Cerastium arvense;hl;2;;;
john163;Chaerophyllum hirsutum;hl;+;;;
john163;Coeloglossum viride;hl;+;;;
john163;Crepis aurea;hl;3;;;
john163;Deschampsia cespitosa;hl;25;;;
john163;Euphorbia austriaca;hl;+;;;
john163;Euphrasia sp.;hl;+;;;
john163;Festuca alpina;hl;+;;;
john163;Festuca rubra agg.;hl;5;;;
john163;Galium pumilum;hl;+;;;
john163;Gentiana punctata;hl;+;;;
john163;Gentianella germanica;hl;+;;;
john163;Geranium sylvaticum;hl;+;;;
john163;Geum montanum;hl;+;;;
john163;Helianthemum grandiflorum;hl;+;;;
john163;Heracleum austriacum;hl;+;;;
john163;Homogyne alpina;hl;+;;;
john163;Hypericum maculatum;hl;+;;;
john163;Leontodon hispidus;hl;5;;;
john163;Leucanthemum adustum;hl;+;;;
john163;Ligusticum mutellina;hl;+;;;
john163;Lotus corniculatus;hl;+;;;
john163;Luzula multiflora;hl;+;;;
john163;Luzula sylvatica;hl;r;;;
john163;Nardus stricta;hl;5;;;
john163;Parnassia palustris;hl;+;;;
john163;Persicaria vivipara;hl;+;;;
john163;Peucedanum ostruthium;hl;+;;;
john163;Phleum rhaeticum;hl;10;;;
john163;Phyteuma orbiculare;hl;+;;;
john163;Platanthera bifolia;hl;r;;;
john163;Poa alpina;hl;+;;;
john163;Poa annua;hl;+;;;
john163;Poa hybrida;hl;+;;;
john163;Poa trivialis;hl;+;;;
john163;Potentilla aurea;hl;2;;;
john163;Primula elatior;hl;+;;;
john163;Prunella vulgaris;hl;+;;;
john163;Ranunculus acris;hl;10;;;
john163;Ranunculus nemorosus;hl;3;;;
john163;Ranunculus repens;hl;2;;;
john163;Rhinanthus sp.;hl;r;;;
john163;Rumex alpestris;hl;5;;;
john163;Rumex alpinus;hl;10;;;
john163;Selaginella selaginoides;hl;r;;;
john163;Senecio subalpinus;hl;5;;;
john163;Silene pusilla;hl;2;;;
john163;Soldanella alpina;hl;+;;;
john163;Stellaria graminea;hl;+;;;
john163;Stellaria nemorum;hl;+;;;
john163;Taraxacum officinale agg.;hl;+;;;
john163;Thymus pulegioides;hl;+;;;
john163;Trifolium pratense;hl;8;;;
john163;Trifolium repens;hl;+;;;
john163;Veratrum album;hl;+;;;
john163;Veronica chamaedrys;hl;8;;;
john164;Achillea millefolium agg.;hl;+;;;
john164;Adenostyles alliariae;hl;+;;;
john164;Agrostis capillaris;hl;20;;;
john164;Ajuga pyramidalis;hl;+;;;
john164;Alchemilla anisiaca;hl;+;;;
john164;Alchemilla monticola;hl;15;;;
john164;Anthoxanthum alpinum;hl;5;;;
john164;Aster bellidiastrum;hl;+;;;
john164;Campanula scheuchzeri;hl;+;;;
john164;Cardaminopsis halleri;hl;5;;;
john164;Carduus defloratus;hl;+;;;
john164;Carex atrata;hl;+;;;
john164;Carex ferruginea;hl;+;;;
john164;Cerastium arvense;hl;2;;;
john164;Chaerophyllum hirsutum;hl;+;;;
john164;Coeloglossum viride;hl;+;;;
john164;Crepis aurea;hl;3;;;
john164;Dactylis glomerata;hl;+;;;
john164;Deschampsia cespitosa;hl;25;;;
john164;Euphorbia austriaca;hl;+;;;
john164;Festuca rubra agg.;hl;10;;;
john164;Galium pumilum;hl;+;;;
john164;Gentiana punctata;hl;+;;;
john164;Geranium sylvaticum;hl;+;;;
john164;Heracleum austriacum;hl;+;;;
john164;Homogyne alpina;hl;+;;;
john164;Hypericum maculatum;hl;3;;;
john164;Leontodon hispidus;hl;5;;;
john164;Ligusticum mutellina;hl;2;;;
john164;Lotus corniculatus;hl;+;;;
john164;Luzula multiflora;hl;+;;;
john164;Nardus stricta;hl;5;;;
john164;Peucedanum ostruthium;hl;2;;;
john164;Phleum rhaeticum;hl;12;;;
john164;Poa alpina;hl;5;;;
john164;Poa annua;hl;+;;;
john164;Poa trivialis;hl;+;;;
john164;Potentilla aurea;hl;+;;;
john164;Primula elatior;hl;+;;;
john164;Ranunculus acris;hl;10;;;
john164;Ranunculus nemorosus;hl;+;;;
john164;Ranunculus repens;hl;2;;;
john164;Rumex alpestris;hl;5;;;
john164;Rumex alpinus;hl;10;;;
john164;Senecio subalpinus;hl;5;;;
john164;Silene pusilla;hl;+;;;
john164;Soldanella alpina;hl;+;;;
john164;Stellaria nemorum;hl;+;;;
john164;Taraxacum officinale agg.;hl;+;;;
john164;Thymus pulegioides;hl;+;;;
john164;Trifolium pratense;hl;5;;;
john164;Trifolium repens;hl;+;;;
john164;Trollius europaeus;hl;+;;;
john164;Veratrum album;hl;+;;;
john164;Veronica chamaedrys;hl;10;;;
john164;Veronica serpyllifolia;hl;+;;;
john21;Achillea millefolium agg.;hl;2;;;
john21;Agrostis capillaris;hl;5;;;
john21;Ajuga reptans;hl;+;;;
john21;Alchemilla lineata;hl;+;;;
john21;Alchemilla monticola;hl;5;;;
john21;Anthoxanthum odoratum;hl;5;;;
john21;Bellis perennis;hl;2;;;
john21;Briza media;hl;+;;;
john21;Calluna vulgaris;hl;+;;;
john21;Campanula patula;hl;+;;;
john21;Cardaminopsis halleri;hl;+;;;
john21;Carex leporina;hl;+;;;
john21;Carex pallescens;hl;+;;;
john21;Carex sylvatica;hl;+;;;
john21;Centaurea jacea;hl;+;;;
john21;Centaurea pseudophrygia;hl;5;;;
john21;Cerastium holosteoides;hl;2;;;
john21;Crepis aurea;hl;+;;;
john21;Cruciata laevipes;hl;+;;;
john21;Cynosurus cristatus;hl;3;;;
john21;Dactylis glomerata;hl;5;;;
john21;Equisetum arvense;hl;+;;;
john21;Festuca pratensis;hl;+;;;
john21;Festuca rubra agg.;hl;10;;;
john21;Galium pumilum;hl;+;;;
john21;Gnaphalium sylvaticum;hl;+;;;
john21;Hieracium aurantiacum;hl;3;;;
john21;Hieracium bauhini;hl;+;;;
john21;Hieracium pilosella;hl;5;;;
john21;Holcus mollis;hl;5;;;
john21;Hypericum maculatum;hl;3;;;
john21;Hypochaeris radicata;hl;+;;;
john21;Knautia arvensis;hl;+;;;
john21;Lathyrus pratensis;hl;+;;;
john21;Leontodon hispidus;hl;5;;;
john21;Leucanthemum sp.;hl;2;;;
john21;Linum catharticum;hl;+;;;
john21;Lotus corniculatus;hl;+;;;
john21;Luzula campestris;hl;2;;;
john21;Lychnis flos-cuculi;hl;1;;;
john21;Myosotis palustris agg.;hl;+;;;
john21;Nardus stricta;hl;15;;;
john21;Phleum rhaeticum;hl;2;;;
john21;Pimpinella major;hl;2;;;
john21;Plantago lanceolata;hl;5;;;
john21;Plantago major;hl;+;;;
john21;Platanthera bifolia;hl;2;;;
john21;Poa pratensis;hl;3;;;
john21;Poa trivialis;hl;+;;;
john21;Potentilla aurea;hl;+;;;
john21;Potentilla erecta;hl;+;;;
john21;Prunella grandiflora;hl;+;;;
john21;Prunella vulgaris;hl;2;;;
john21;Ranunculus acris;hl;5;;;
john21;Ranunculus repens;hl;5;;;
john21;Rumex acetosa;hl;5;;;
john21;Stellaria graminea;hl;2;;;
john21;Taraxacum officinale agg.;hl;5;;;
john21;Thymus pulegioides;hl;+;;;
john21;Trifolium medium;hl;+;;;
john21;Trifolium pratense;hl;10;;;
john21;Trifolium repens;hl;5;;;
john21;Veronica chamaedrys;hl;+;;;
john21;Veronica officinalis;hl;1;;;
john21;Vicia cracca;hl;5;;;
john21;Vicia sepium;hl;+;;;
