BEGIN HEADER

RELEVE NO.          | 5 . 5 5 5 2 5 . 5 5 . 5 5 2 . 9 | 5 5 5 5 5 5 5 5 5 5 5 5 | . . . | 5 . 5 . | . . | 5 5 5 8 8 5 . 8 7 | 7 5 7 5 9 . . | 9 9 4 7 9 9 9 | 7 7 7 9 9 | . 8 7 7 7 8 7 9 9 | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | 7 7 7 8 . 7 . . | . 7 9 7 7 9 4
TRIF MEDI       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | + + + . . . + . . . | . . . . . . + . | 1 . . + . . +
ANTH RAMO       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . + . . . . . . . . . . . . . | . 1 + . . + . . . . | . . + + . + . . | R . . . . . .

CARE HUMI       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . + . . . . . . . . . . . . . . . | . . 2 3 2 1 2 1 1 1 | . 2 1 1 . 1 . 3 | 2 . . . . . .
TEUC CHAM       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . + + 1 + + + + . . | 1 1 + . 1 2 + 1 | 2 . . . . . .
POLY CHAM       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . + . . . . . . . . . . . . . | . 1 . + + + + . . . | + 1 + . + . + . | + + . . + . .
ORIG VULG       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . + . . + . . . . . . . . . . | . + . 1 1 + + . . + | 1 + + + + 1 1 1 | 1 . . . . . .
BRAC PINN       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | 2 + . 1 . . + + . . | + 3 2 1 . 2 . . | 2 . + . . . .
BETO OFFI       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | + . . . . . . . . . . . . . . . . . . | + 1 + . . + . . . . | . 2 2 + . 1 + . | + . . . . . .
GERA SANG       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . + . . . . . . | . + + + . . + 1 | 2 . . . . . .
DIGI GRAN       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | + . . . . . . . . . . . . . . . . . . | . . + 1 + + . + + + | . . + . . 1 . + | + + . . . . .

HYPE MONT       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . + . . . . . . . . + . . . . . | + + . . . . . . . . | + + 1 . . 1 + + | . + . + . . .
GALI LUCI       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | 1 1 R . . . . . | + + . + . . .
VIOL RIVI       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . 1 . . . . . . | . . . . . . . . . . . . . . . . . | + . . . . . . . . . . . . . + . . . . | . . . . . . . . . . | 1 1 + + . 1 . . | + R . . . . .
TORT TORT       @ml | . . . . . . . . . . . + . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | + 1 . R . + . . | R . . . + . .
VIOL ALBA       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . + . 1 + . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | 1 . + + . 2 . . | . . . . . . .
EUPH AMYG       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . + . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . 2 1 . 2 . . | . . . . . + .

MELA PRAT       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . + | 2 2 1 . + 3 .
FEST OVIA       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | + . . . . . . 2 | 1 1 2 . 2 2 .
HIER SABA       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | + . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . 1 | . . 1 . . . . + | 2 2 2 1 . + .
LATH NIGE       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . + . . . . . | 1 1 2 . + . .
CALL VULG       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | + . + . + + .

LUZU NIVE       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . 1 . . | . . . . . . + | . . . . . . . | . R . + + | . . + . . . . . . | . . . . . . . 3 . . + 1 . . + . . | . . . . . . . . . . . . . . . . . . . | + . . . . . . . . + | + . . . . . . + | + 2 2 3 + 2 .
VACC MYRT       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | 3 3 1 1 3 . .
DICR SCOP       @ml | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | 1 + 2 . . . .
POLY FORM       @ml | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . + + . . . . . | 2 2 2 . + 1 .
VERO OFFI       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | + . . . . . . . | R 1 . 1 + . .

ALLI CARI       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . + + . . + + . . + | . . . . . . . . | . . . . . . .
LATH PRAT       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | + . . . . . . . . . . . . . . . . | . . + . . . . . . . . . . . . . . . . | . + . + + . + . . . | . . + . . . . . | . . . . . . .
CEPH DAMA       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | + . . . . . . . . . . . . . . . . | . . . . . . . . + . . . . . . . . . . | + + . . + . + . . . | . . . . . . . . | . . . . . . .
BUPH SALI       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | + + + + . . . . . . | . . . . . . . . | . . . . . . .
SESL COER       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | + . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . + + + 1 . . . | . 1 . . . . . . | . . . . . . .

STRE AMPL       @hl | + . . . . . . . . . . + . . . . | 1 + + + . + + + . + R . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
STAC SYLV       @hl | . + + + . . . . . . . + . . . . | 1 1 + + . + . + + + + + | . . + | . . . . | + + | . . . . . . . . . | . . . . . . . | . . . . 1 2 . | . . . + . | . . . . + . . . . | . . . . + . . . . + . . . . + . . | . . . + . . . . . . + + . . . + . + + | . . . . . . . . . . | . . . . . . . . | . . . . . . .

GENT ASCL       @hl | . . . . . . . . . . . . . . . . | . . . . R . . . R . . R | + + + | . . . . | R . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | + . . . + . . . . . . . . . . . . | . . . . + . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
GERA SYLV       @hl | . . . . . . . . . . . . . . . . | . . . . R . . . . . . R | + + + | + . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . + . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
THAL AQUI       @hl | + . R . + . . . . . . + . . . + | . . . . . . . R + . . . | R R + | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
RUBU SAXA       @hl | . . . . . . . . . . . . . . . . | . . . . R . . . . . . . | + + + | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . 1 . + . . . . + . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | + . . . . . .
ACHI MACR       @hl | . + . . . . . . . . . . . . . . | . . . . . . . . . . . . | + + . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
PHYT OVAT       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | + + . | . . + . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
AGRO STOL       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . + + | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | + . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
POLY LONC       @hl | . . . . . . . . . . . . . . . . | . . . . + . . . . . . . | R . R | . . . . | . . | . . . . . . . . . | . . . . . . + | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
ACON PLAT       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | + . + | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
AGRO CANI       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . 2 2 | . R . . | + . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . + . . . . . . . . | 1 . . . . . . . . . + . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .

GALI ALBU       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | + + | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . + . . . . . . | . . . . . . . . | . . . . . . .
RANU NEMO       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | 4 . . | . . . . | + + | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | + . . . . . . . . . . . . . . . . | . . . . . . . + . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
CREP BLAT       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | + . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .

VALE MONT       @hl | . + . . . . . . . . . . . . . . | . . . . . . . . . . . . | + . . | . . . . | . . | 1 + + . . R . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
FEST ALTI       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . 1 + . . + 2 . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . + . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
LAST ROBE       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | 1 . 2 . . + . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . + . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .

PHYL SCOL       @hl | . . . . . . + . . . . . . . . . | . . . . 1 . R + . . . + | . . . | . . . . | . . | 1 2 + 1 3 2 1 2 2 | 2 2 2 1 1 + + | 1 . . . . . . | . . . . . | . . . . . . . . . | . . + . . . . . . . . . . + . . 1 | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
THAM ALOP       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . 2 . 4 + | + 2 . . 1 . . | . . . 1 . . . | . . . . . | . . . . . . + . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .

ARUM MACU       @hl | . . . . . + . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . 2 | . 2 2 1 1 + + | 1 2 1 3 . . + | + + 1 4 + | + . 2 . 1 . . . . | . . . . . . . . . + . + . . . . . | . . . . . . . . . . . . . . . . + . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
ALLI URSI       @hl | . . . . . . . . 2 . . . . . . 3 | . . 2 2 . . . + 2 + 4 . | . . . | . . . . | . . | . . . . . . . . . | . 2 4 2 1 + 1 | . . 1 . 1 . . | . . 1 3 . | 4 . 2 . + + 5 + . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . + . . . + . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
ANEM NEMO       @hl | . . . . . . . . . . . . . . . 2 | . . . . . 1 . + . 2 1 . | . . . | + . . . | . 1 | . . . 1 + . . . . | . 2 . 2 + + + | . 2 . . . . 1 | 1 1 + 2 + | . . . 1 1 . . . . | . . . . . . . . . . . . . . + . . | . . . . . . . . . . . . . . . + . . . | . . . . . . . . . . | 1 . . . . . . . | . . . . . 1 .

RANU FICA       @hl | . . . . . . . . . . . . . . . . | . . . . . 1 . . . 1 . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . 2 1 2 . . 1 | 1 1 2 1 . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .

CORY CAVA       @hl | . . . . . . . . . . . . . . . 2 | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | 3 + 1 2 2 1 3 | 3 . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
LEUC VERN       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . 2 . 1 . . | . . 2 2 . . . | . . . . 2 | . . . . . . . . + | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .

LAST PHEG       @hl | . . . . . + . . . . . . . . . . | . . . . . . . . . . . . | + . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | 1 1 . + + | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
DRYO BORR       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . 1 . . . . | . . . . . . . | 1 + . . . . . | + 2 + + + | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
CATH UNDU       @ml | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . 1 . . . . . | 2 + 2 2 1 | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . 1 2 . . . . . | . 1 2 1 . . .
LUZU PILO       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | R + + . . | . . R . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .

VERO LATI       @hl | R . + R + . + . + + . R + . . . | R + . + . . . . + + . R | + . R | + . + . | . R | + R . . . R + . . | . . . . . + 1 | . + . . . + . | + + + + . | . . . . . . . . . | + 1 + + . . . 1 + . + + + . + + . | . . . + + . . . . . . . . + + + + . . | + . . . . . . . . . | + 2 . + + 1 + . | . + 1 + 1 + .
OXAL ACET       @hl | 2 . + + 1 2 . . . 1 . + . . + + | + + + + . + 1 + + + . + | 2 . + | + . . . | . . | . + + 2 3 + . 2 . | 2 . + 1 . . . | 1 2 + . . . 1 | 3 1 + 2 2 | . . . . . . . . . | . . 1 + 1 . . + . . . 1 . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
PREN PURP       @hl | . . + . . . . . . + . + . . . . | . . + 1 . . . . R . . R | . . R | . . + + | + . | . . . . . R . . . | + . . . . + . | . . . . . . . | + + + 1 + | . . . . . . . . . | + . + + + . 1 1 1 + + + . + + . . | . . . + + . . . . . . . . . + + . . . | . . . . . . . . . . | . . . . . 1 . . | . 1 1 . . 1 .
SANI EURO       @hl | . . . + . . . . . . . . . . . . | . . + + . . . . + + . . | . . . | . . 1 . | R . | . . . . . . . . . | . . . + . . 1 | . + . . . . . | + + + 1 R | + . . . . 2 1 . + | + . . + 1 + 3 1 . + . . . + . . . | . . . . 1 . + + + . + . + . . . . + . | . 1 + . + + . . + + | . . . . . . . . | . . . . . . .
CARE SILV       @hl | . . R + . . . . . . . + . . . . | . . . . . . . . + + . . | . + . | + . . + | + + | . . . . . . . . . | + . + . . . . | . . . . . . . | + + . . . | . . + . + 2 + . + | . . . + + 1 + 1 . + . . . + . . . | . . . . + . + + + . . . + . . + . . + | . . . . . . . . . . | . . . . . . . . | . . . . . . .
POA  NEMO       @hl | . . + . . . + . . R R + . . . . | . . . . + . . . . . . . | . . . | + R . . | . . | . + . . . + 1 . . | . . . . . + . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . 1 . . 1 . . . . . | 1 + . . . . . . + . + . . . . + . + . | . . . . . . . . . . | 1 . . . . . . . | + 1 + 2 . . +
EURH STRI       @ml | . . . 2 + 1 . . 2 2 . 1 . . . . | . . . . 1 2 . . . . 1 . | . . . | . . . . | . . | . . . . 4 3 . + . | . 2 . . 2 . . | + 1 . . . . . | 1 1 1 1 1 | . . . . . 1 + . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . 1 . . . . . . | . . 1 . . . .
LATH VERN       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . + 1 . . | . . + . . . . | . . . . . . . | . . . . . | + . + + . . . + 1 | . + . . 1 . . . . + . . . . . . . | . + + + + + . + . 1 + . . 1 . + . . . | . . . . . . . . . . | 2 . . . . . . + | . . . . . . .
CLEM VITA       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . + | . . . . . . . . . | + . . . . + . | . . . . . . . | . . . . . | + . . . . . . . . | + . . . + . . . + . . . . . . . . | . + + . + + 1 + + . . . . . . . 1 + . | . . . . . . + + . . | + . . . + 1 . + | . . . . . . .
VINC OFFI       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . + . + + . . . + . . . . . . . . | + . . . + + + + + . . . . . . . . . . | . . + . . + . + . . | + + + R . . 1 1 | + . . . . + +
ASPL TRIC       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . + . . . . + + + | + . . . + + + | . . . . . . . | . . . . . | . . . . . . . . . | . . + + . . . . + . + 1 . . + . . | . . . . . + . . + . + . . . . . . . . | . . . . . . . . . . | 1 . . . + . . . | + . . . . . .
ADEN GALB       @hl | . + . . . . + . . . . . . . . . | . . . . + . . + . . . 1 | + . 1 | . . . . | . . | + R + . . R . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . + . . . . + . . + + + . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
CIRC LUTE       @hl | . . . . . . . . . . . . . + . . | . . . . . . . . . . R . | . . . | + . . . | . + | . . . . + . . . . | 1 + . 1 . . . | 1 + . . 1 2 1 | + 1 + . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
KNAU SYLV       @hl | . . + . . . . . . . . + . . . . | . . . . . . . . + . . . | + . + | . . . + | + + | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . + . . + + . + . . . . . . . . . | . . . . + . + . . . . + . . . . . . + | . . . . . . . . . . | . . . . . . . . | . . . . . . .
MYCE MURA       @hl | . . . . . . . . . + . R . . . . | . . . . . . . . . . . . | + . + | . R . . | + . | + + + . . . . . . | + . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . + . . . . 1 . . + . . + . . | . . . . . + . . + . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
ORCH MASC       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . + . . | . . + + . . . + + | . . . . . . . . . . + . . . . . . | . . . . . . . . + . . . . + . + . + + | . + + + + + + + + + | 1 . + . . . . . | . . . . . . .
DRYO DILA       @hl | . R . . + 2 . . . . . . . . . . | . . + . . . + . . . . . | . . R | + . R . | . . | . . . . 1 . . . . | 1 . . . + . . | . + . . . . . | + + + + . | . . . . . + . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
FISS TAXI       @ml | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . + | . . + . . . . | . . . . + . . | + . + + + | . . + . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . + . . . . . . . | + + + R . + . . | . . . . . . .
BROM RAMO       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . + . . . . . . | . 1 1 . . + 1 1 . . + . . . . . . | . . . . . . 1 . . . + + + . . . . . . | . . . . . . . . . . | 1 . . . . . . . | . . . . . . .
CYST FRAG       @hl | + . . . R . . . . R . . R . . . | . . . . R . R . . . . . | . . . | . . . . | . . | . + . . . . + . + | . . . . . R . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . + . . . . + | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
